Observation,Age,Gender,Milk Chocolate,Dark Chocolate,Jellybean,Mint,Too Sweet,Not sweet ,Sweets more,Sweets less
1,3,M,3,2,1,4,N/A,N/A,N,N
2,7,M,3,4,1,2,JELLYBEAN,MINT,Y,N
3,13,M,2,3,1,4,N/A,DARK,Y,N
4,15,F,1,2,4,3,N/A,N/A,N,N
5,12,M,1,4,2,3,JELLYBEAN,DARK,Y,N
6,49,M,3,2,1,4,N/A,MINT,N,N
7,61,F,1,3,4,2,JELLYBEAN,DARK,N,Y
8,46,M,2,1,4,3,JELLYBEAN,N/A,N,Y
9,55,F,3,2,1,4,N/A,N/A,N,N
10,50,M,2,1,4,3,N/A,DARK,N,Y
11,46,M,2,1,3,4,JELLYBEAN,N/A,N,Y
12,46,F,1,2,4,3,JELLYBEAN,N/A,N,Y
13,45,F,2,1,4,3,JELLYBEAN,MINT,N,Y
14,48,F,3,1,4,2,JELLYBEAN,N/A,Y,N
15,42,F,4,3,2,1,N/A,N/A,N,N
16,49,M,1,2,3,4,N/A,N/A,N,Y
17,48,F,3,1,4,2,MILK,N/A,N,Y
18,47,F,2,1,4,3,JELLYBEAN,N/A,N,Y
19,45,F,2,1,3,4,N/A,N/A,N,N
20,48,F,2,1,4,3,JELLYBEAN,N/A,N,Y
21,31,M,3,1,4,2,JELLYBEAN,N/A,N,Y
22,34,F,2,3,4,1,JELLYBEAN,DARK,Y,N
23,35,F,1,3,4,2,N/A,N/A,N,Y
24,39,F,2,1,4,3,JELLYBEAN,N/A,N,Y
25,38,F,4,1,2,3,N/A,N/A,N,Y
26,37,F,2,1,4,3,JELLYBEAN,N/A,N,Y
27,37,M,4,1,2,3,JELLYBEAN,DARK,N,Y
28,49,M,2,1,3,4,JELLYBEAN,MINT,N,Y
29,14,F,3,2,1,4,N/A,MINT,N,Y
30,14,F,2,1,4,3,MILK,N/A,N,Y
31,47,F,1,3,2,4,N/A,N/A,Y,N
32,11,M,2,3,1,4,N/A,N/A,N,N
33,40,M,3,2,1,4,N/A,milk,N,Y
34,9,M,1,3,2,4,N/A,N/A,Y,N
35,14,M,1,2,4,3,JELLYBEAN,N/A,N,Y
,,,,,,,,,,
