Seq,Source,Tableused
1,LOS.los_flow2,WW_CORE_DIM_DL_TABLES.DL_CALENDAR_DIM
1,LOS.los_flow2,WW_CORE_DIM_DL_TABLES.DL_DC_DIM
1,LOS.los_flow2,ww_core_dim_dl_tables.dl_store_club_dim
1,LOS.los_flow2,WW_SUPPLY_CHAIN_DL_TABLES.SC_LOAD_WTMS
1,LOS.los_flow2,ww_supply_chain_dl_tables.sc_store_pre_shpmnt_notice
1,LOS.los_flow2,ww_supply_chain_dl_tables.sc_trip
2,LOS.TRANS_STORE_LOADS_TV_S1,ww_supply_chain_dl_tables.sc_load_wtms
2,LOS.TRANS_STORE_LOADS_TV_S1,LOS.los_flow2
3,LOS.TRIP_LOAD_FINAL_v2,LOS.TRANS_STORE_LOADS_TV_S1
3,LOS.TRIP_LOAD_FINAL_v2,ww_supply_chain_dl_tables.sc_trip_route_wtms
4,LOS.TRIP_LOAD_FINAL_v2_a,LOS.TRANS_STORE_LOADS_TV_S1
4,LOS.TRIP_LOAD_FINAL_v2_a,LOS.TRIP_LOAD_FINAL_v2
5,los.informix_merge_wmg,LOS.TRIP_LOAD_FINAL_v2_a
5,los.informix_merge_wmg,WW_CORE_DIM_DL_TABLES.DL_CALENDAR_DIM
6,LOS.TRIP_DELIVERY_TIME_V1,WW_SUPPLY_CHAIN_DL_TABLES.SC_CARRIER_LOAD_STOP_STATUS
6,LOS.TRIP_DELIVERY_TIME_V1,los.informix_merge_wmg
7,LOS.load_stop,los.informix_merge_wmg
7,LOS.load_stop,LOS.TRIP_DELIVERY_TIME_V1
7,LOS.load_stop,WW_SUPPLY_CHAIN_DL_TABLES.SC_LOAD_TNDR_STOP
8,LOS.TRIP_DELIVERY_TIME_V1_a,LOS.TRIP_DELIVERY_TIME_V1
8,LOS.TRIP_DELIVERY_TIME_V1_a,LOS.load_stop
9,LOS.TRIP_DELIVERY_TIME_V2,LOS.TRIP_DELIVERY_TIME_V1_a
9,LOS.TRIP_DELIVERY_TIME_V2,los.informix_merge_wmg
10,LOS.TRIP_DELIVERY_TIME_V4,LOS.TRIP_DELIVERY_TIME_V2
10,LOS.TRIP_DELIVERY_TIME_V4,los.lat_long_union
10,LOS.TRIP_DELIVERY_TIME_V4,LOS.final_delivery_profiles_vf
10,LOS.TRIP_DELIVERY_TIME_V4,ww_core_dim_dl_tables.dl_store_club_dim
11,LOS.TRIP_DELIVERY_TIME_V5,LOS.TRIP_DELIVERY_TIME_V4
11,LOS.TRIP_DELIVERY_TIME_V5,LOS.ords_shipping_loc
11,LOS.TRIP_DELIVERY_TIME_V5,LOS.final_delivery_profiles_vf
11,LOS.TRIP_DELIVERY_TIME_V5,los.store_program
12,LOS.TRIP_DELIVERY_TIME_V6,LOS.TRIP_DELIVERY_TIME_V5
12,LOS.TRIP_DELIVERY_TIME_V6,los.master_of_stores
13,LOS.TRIP_DELIVERY_TIME_V7,LOS.TRIP_DELIVERY_TIME_V6
13,LOS.TRIP_DELIVERY_TIME_V7,ww_core_dim_dl_tables.dl_dc_dim
13,LOS.TRIP_DELIVERY_TIME_V7,ww_core_dim_dl_tables.dl_store_club_dim
13,LOS.TRIP_DELIVERY_TIME_V7,los.location_info
